audio_id,audio_path,ref_path,notes,tags,proper_nouns,start_sec,end_sec,duration_sec,source_audio
sample_eval_001,experiments/data/audio/sample_eval/sample_eval_001.m4a,experiments/data/ref/sample_eval_001.txt,seed_from=sample.m4a; review_time=01:00-01:30,seed|needs_transcript|needs_annotation|single_source,,60.000,90.000,30.000,sample.m4a
sample_eval_002,experiments/data/audio/sample_eval/sample_eval_002.m4a,experiments/data/ref/sample_eval_002.txt,seed_from=sample.m4a; review_time=05:08-05:38,seed|needs_transcript|needs_annotation|single_source,,308.782,338.782,30.000,sample.m4a
sample_eval_003,experiments/data/audio/sample_eval/sample_eval_003.m4a,experiments/data/ref/sample_eval_003.txt,seed_from=sample.m4a; review_time=09:17-09:47,seed|needs_transcript|needs_annotation|single_source,,557.563,587.563,30.000,sample.m4a
sample_eval_004,experiments/data/audio/sample_eval/sample_eval_004.m4a,experiments/data/ref/sample_eval_004.txt,seed_from=sample.m4a; review_time=13:26-13:56,seed|needs_transcript|needs_annotation|single_source,,806.345,836.345,30.000,sample.m4a
sample_eval_005,experiments/data/audio/sample_eval/sample_eval_005.m4a,experiments/data/ref/sample_eval_005.txt,seed_from=sample.m4a; review_time=17:35-18:05,seed|needs_transcript|needs_annotation|single_source,,1055.127,1085.127,30.000,sample.m4a
sample_eval_006,experiments/data/audio/sample_eval/sample_eval_006.m4a,experiments/data/ref/sample_eval_006.txt,seed_from=sample.m4a; review_time=21:43-22:13,seed|needs_transcript|needs_annotation|single_source,,1303.908,1333.908,30.000,sample.m4a
sample_eval_007,experiments/data/audio/sample_eval/sample_eval_007.m4a,experiments/data/ref/sample_eval_007.txt,seed_from=sample.m4a; review_time=25:52-26:22,seed|needs_transcript|needs_annotation|single_source,,1552.690,1582.690,30.000,sample.m4a
sample_eval_008,experiments/data/audio/sample_eval/sample_eval_008.m4a,experiments/data/ref/sample_eval_008.txt,seed_from=sample.m4a; review_time=30:01-30:31,seed|needs_transcript|needs_annotation|single_source,,1801.472,1831.472,30.000,sample.m4a
sample_eval_009,experiments/data/audio/sample_eval/sample_eval_009.m4a,experiments/data/ref/sample_eval_009.txt,seed_from=sample.m4a; review_time=34:10-34:40,seed|needs_transcript|needs_annotation|single_source,,2050.253,2080.253,30.000,sample.m4a
sample_eval_010,experiments/data/audio/sample_eval/sample_eval_010.m4a,experiments/data/ref/sample_eval_010.txt,seed_from=sample.m4a; review_time=38:19-38:49,seed|needs_transcript|needs_annotation|single_source,,2299.035,2329.035,30.000,sample.m4a
sample_eval_011,experiments/data/audio/sample_eval/sample_eval_011.m4a,experiments/data/ref/sample_eval_011.txt,seed_from=sample.m4a; review_time=42:27-42:57,seed|needs_transcript|needs_annotation|single_source,,2547.817,2577.817,30.000,sample.m4a
sample_eval_012,experiments/data/audio/sample_eval/sample_eval_012.m4a,experiments/data/ref/sample_eval_012.txt,seed_from=sample.m4a; review_time=46:36-47:06,seed|needs_transcript|needs_annotation|single_source,,2796.598,2826.598,30.000,sample.m4a
sample_eval_013,experiments/data/audio/sample_eval/sample_eval_013.m4a,experiments/data/ref/sample_eval_013.txt,seed_from=sample.m4a; review_time=50:45-51:15,seed|needs_transcript|needs_annotation|single_source,,3045.380,3075.380,30.000,sample.m4a
sample_eval_014,experiments/data/audio/sample_eval/sample_eval_014.m4a,experiments/data/ref/sample_eval_014.txt,seed_from=sample.m4a; review_time=54:54-55:24,seed|needs_transcript|needs_annotation|single_source,,3294.162,3324.162,30.000,sample.m4a
sample_eval_015,experiments/data/audio/sample_eval/sample_eval_015.m4a,experiments/data/ref/sample_eval_015.txt,seed_from=sample.m4a; review_time=59:02-59:32,seed|needs_transcript|needs_annotation|single_source,,3542.943,3572.943,30.000,sample.m4a
sample_eval_016,experiments/data/audio/sample_eval/sample_eval_016.m4a,experiments/data/ref/sample_eval_016.txt,seed_from=sample.m4a; review_time=63:11-63:41,seed|needs_transcript|needs_annotation|single_source,,3791.725,3821.725,30.000,sample.m4a
sample_eval_017,experiments/data/audio/sample_eval/sample_eval_017.m4a,experiments/data/ref/sample_eval_017.txt,seed_from=sample.m4a; review_time=67:20-67:50,seed|needs_transcript|needs_annotation|single_source,,4040.507,4070.507,30.000,sample.m4a
sample_eval_018,experiments/data/audio/sample_eval/sample_eval_018.m4a,experiments/data/ref/sample_eval_018.txt,seed_from=sample.m4a; review_time=71:29-71:59,seed|needs_transcript|needs_annotation|single_source,,4289.288,4319.288,30.000,sample.m4a
sample_eval_019,experiments/data/audio/sample_eval/sample_eval_019.m4a,experiments/data/ref/sample_eval_019.txt,seed_from=sample.m4a; review_time=75:38-76:08,seed|needs_transcript|needs_annotation|single_source,,4538.070,4568.070,30.000,sample.m4a
sample_eval_020,experiments/data/audio/sample_eval/sample_eval_020.m4a,experiments/data/ref/sample_eval_020.txt,seed_from=sample.m4a; review_time=79:46-80:16,seed|needs_transcript|needs_annotation|single_source,,4786.852,4816.852,30.000,sample.m4a
sample_eval_021,experiments/data/audio/sample_eval/sample_eval_021.m4a,experiments/data/ref/sample_eval_021.txt,seed_from=sample.m4a; review_time=83:55-84:25,seed|needs_transcript|needs_annotation|single_source,,5035.633,5065.633,30.000,sample.m4a
sample_eval_022,experiments/data/audio/sample_eval/sample_eval_022.m4a,experiments/data/ref/sample_eval_022.txt,seed_from=sample.m4a; review_time=88:04-88:34,seed|needs_transcript|needs_annotation|single_source,,5284.415,5314.415,30.000,sample.m4a
sample_eval_023,experiments/data/audio/sample_eval/sample_eval_023.m4a,experiments/data/ref/sample_eval_023.txt,seed_from=sample.m4a; review_time=92:13-92:43,seed|needs_transcript|needs_annotation|single_source,,5533.197,5563.197,30.000,sample.m4a
sample_eval_024,experiments/data/audio/sample_eval/sample_eval_024.m4a,experiments/data/ref/sample_eval_024.txt,seed_from=sample.m4a; review_time=96:21-96:51,seed|needs_transcript|needs_annotation|single_source,,5781.978,5811.978,30.000,sample.m4a
